Basin,Catchment,Site ID,Site name,Site code,Latitude (GDA2020),Longitude (GDA2020),Site type,Stream order,Stream habit
Herbert,Herbert River,1160115,Broadwater Creek at Day Use,BCD,-18.41633,145.94393,Reference,4,Natural
Herbert,Catherina Creek,1160116,Catherina Creek at Catherina Creek Road,CCC,-18.59907,146.23627,End of System,3,Natural
Herbert,Herbert River,1160117,Elphinstone Creek at Copley Road,ECC,-18.46506,145.96146,Impact,4,Natural
Herbert,Francis Creek,1160118,Francis Creek at Weir,FCW,-18.76673,146.13407,Impact,5,Ephemeral
Herbert,Herbert River,1160119,Herbert River at John Row Bridge,HRJ,-18.62831,146.16486,End of System,7,Tidal
Herbert,Herbert River,1160120,Herbert River at Nash's Crossing,HRN,-18.41435,145.77097,Reference,7,Natural
Herbert,Victoria Creek,1160121,Lagoon Creek at Five Mile Road,LCF,-18.62341,146.2632,End of System,3,Lagoon
Herbert,Lannercost Creek,1160122,Lannercost Creek at Lannercost Ext Road,LCL,-18.6185,146.03286,Impact,5,Natural
Herbert,Palm Creek,1160124,Palm Creek at Bosworths Road,PCB,-18.69688,146.22796,End of System,3,Natural
Herbert,Ripple Creek,1160126,Ripple Creek at Gangemis Road,RCG,-18.5811,146.1323,Reference,3,Natural
Herbert,Stone River,1160127,Stone River at Running Creek,SRR,-18.76607,145.95028,Reference,5,Natural
Herbert,Stone River,1160128,Stone River at Venables Crossing,SRV,-18.63856,146.03497,Impact,5,Natural
Herbert,Palm Creek,1160129,Trebonne Creek at Bruce Highway,TBH ,-18.7197,146.14842,Impact,4,Natural
Herbert,Cattle Creek,1160130,Waterview Creek at Jourama Road,WCJ,-18.85141,146.12466,Reference,3,Natural
Herbert,Cattle Creek,1160131,Waterview Creek at Mammarellas Road,WCM,-18.82947,146.20546,End of System,3,Natural
Herbert,Herbert River,1160133,Ripple Creek at Seymour Creek Gates,RCS,-18.58571,146.18459,Impact,4,Lagoon
Herbert,Palm Creek,1160134,Palm Creek at Cemetery Road,RIP,-18.6643,146.2006,Impact,3,Natural
